Tactic_A,Tactic_B,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,logRR_norm,phi_norm,Score_default,Score_minus_conf
Architecture design through math. optimization,Pruning,2,21,3,191,217,5,23,0.5107689239601585,1.726898835026014,0.1466806978338958,0.08830798193707566,0.6980306345733042,0.1466806978338958,0.07579178993609563,0.14838762967107924
Smaller computation datatype,Quantization,3,37,4,173,217,7,40,0.672263944058872,1.199588206008112,0.11500020469972774,0.11883510446172518,0.5369030390738061,0.11500020469972774,0.06756773829010668,0.10050775277662308
Regularization training,Width adjustment,2,13,6,196,217,8,15,0.5182339919776623,1.501605207630885,0.13950513614346355,0.09812653794234032,0.6356275303643725,0.13950513614346355,0.06749991154083393,0.130249872809855
Pruning,Architecture design through math. optimization,2,3,21,191,217,23,5,0.5107689239601585,1.3957731050744344,0.1466806978338958,0.08830798193707566,0.6030245746691871,0.1466806978338958,0.06726736382902665,0.13169823118344942
Pruning,Transfer learning,2,3,21,191,217,23,5,0.5107689239601585,1.3957731050744344,0.1466806978338958,0.08830798193707566,0.6030245746691871,0.1466806978338958,0.06726736382902665,0.13169823118344942
Width adjustment,Regularization training,2,6,13,196,217,15,8,0.5182339919776623,1.3910905333833836,0.13950513614346355,0.09812653794234032,0.6015325670498084,0.13950513614346355,0.06453086236104713,0.1245207056271767
Width adjustment,Adversarial training,4,24,11,178,217,15,28,0.7449409270762635,0.8979415932059586,0.1118785378715649,0.11048450728114821,0.42105263157894735,0.1118785378715649,0.06330191555396976,0.084975752107508
Destillation learning,Depth adjustment,2,10,9,196,217,11,12,0.5351040613112231,1.3340259325741337,0.12791145427954442,0.1167515040146711,0.583011583011583,0.12791145427954442,0.05913832634457434,0.11051743131917431
Adversarial training,Width adjustment,4,11,24,178,217,28,15,0.7449409270762635,0.8084580270709397,0.1118785378715649,0.11048450728114821,0.3835616438356164,0.1118785378715649,0.0588487113200905,0.07899782275496571
Depth adjustment,Destillation learning,2,9,10,196,217,12,11,0.5351040613112231,1.3205429835571103,0.12791145427954442,0.1167515040146711,0.578544061302682,0.12791145427954442,0.05876669433532175,0.10982292713555451
