QA,Tactic,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,w_p,logRR_norm,phi_norm,Score_default,Score_minus_conf
Ressource utilization,Closed-loop learning,6,0,112,99,217,118,6,0.830327407619309,0.6333592621809718,0.1544582077417392,0.032647378714403374,0.495383894286561,0.30650154798761603,0.1544582077417392,0.09480347824328553,0.11417601945129494
Ressource utilization,Binary weights and activations,6,0,112,99,217,118,6,0.830327407619309,0.6333592621809718,0.1544582077417392,0.032647378714403374,0.495383894286561,0.30650154798761603,0.1544582077417392,0.09480347824328553,0.11417601945129494
Resiliency,Meta-learning,2,8,6,201,217,8,10,0.44914562337133124,1.9315214116032138,0.1902829837279232,0.04623768687139249,0.4450013001517086,0.7468354430379747,0.1902829837279232,0.09365111101030626,0.20850945915347413
Resiliency,Neural architecture search,2,8,6,201,217,8,10,0.44914562337133124,1.9315214116032138,0.1902829837279232,0.04623768687139249,0.4450013001517086,0.7468354430379747,0.1902829837279232,0.09365111101030626,0.20850945915347413
Resiliency,Finetuning ,2,8,6,201,217,8,10,0.44914562337133124,1.9315214116032138,0.1902829837279232,0.04623768687139249,0.4450013001517086,0.7468354430379747,0.1902829837279232,0.09365111101030626,0.20850945915347413
Performance Efficiency,Multi-model of different models,2,4,13,198,217,15,6,0.46871439086703215,1.6882964873464201,0.17563872486845983,0.05703319793802105,0.4146240920603397,0.6880000000000001,0.17563872486845983,0.08391989526462254,0.17904271108336733
Robustness,Depth adjustment,7,5,62,143,217,69,12,0.8531483828770723,0.6568790933606297,0.1378653382698024,0.05608610736258344,0.4170482336689902,0.31711794401101423,0.1378653382698024,0.0809424418301431,0.09487498711206707
Time behaviour,Out-of-distribution detection,3,0,82,132,217,85,3,0.6551277756808033,0.9592567677575984,0.14754729210821252,0.05880636825873135,0.4101918802542725,0.44594594594594594,0.14754729210821252,0.07974415336571487,0.1217230536178159
Time behaviour,Input resolution adjustment,3,0,82,132,217,85,3,0.6551277756808033,0.9592567677575984,0.14754729210821252,0.05880636825873135,0.4101918802542725,0.44594594594594594,0.14754729210821252,0.07974415336571487,0.1217230536178159
Functional adaptability,Transfer learning,2,3,19,193,217,21,5,0.49496626555868906,1.495856563631417,0.1575089666438883,0.07474625994921792,0.3754701776970654,0.6339113680154143,0.1575089666438883,0.0735407844132189,0.14857736684379966
Functional correctness,Sensor or input data fusion,5,0,111,101,217,116,5,0.799220089571997,0.6470560733596782,0.14330084918348485,0.06259210181569276,0.40116015492702695,0.31269349845201233,0.14330084918348485,0.07309937201225371,0.09146338157165232
Functional correctness,Ternary weights and activations 2-bit,5,0,111,101,217,116,5,0.799220089571997,0.6470560733596782,0.14330084918348485,0.06259210181569276,0.40116015492702695,0.31269349845201233,0.14330084918348485,0.07309937201225371,0.09146338157165232
Fault tolerance,Neural architecture search,2,8,9,198,217,11,10,0.503020200599074,1.5260563034950494,0.14959941137159483,0.0842249698876264,0.3581863785390435,0.6428571428571429,0.14959941137159483,0.0713904234833134,0.14192357165436034
Ressource utilization,Ternary weights and activations 2-bit,5,0,113,99,217,118,5,0.8019682102467025,0.6291984559596718,0.14066746640532368,0.06439159856719853,0.3970569310349564,0.3046153846153846,0.14066746640532368,0.07089504929358999,0.08840132113438906
Ressource utilization,Mixed-precision compression,5,0,113,99,217,118,5,0.8019682102467025,0.6291984559596718,0.14066746640532368,0.06439159856719853,0.3970569310349564,0.3046153846153846,0.14066746640532368,0.07089504929358999,0.08840132113438906
Ressource utilization,New or specific layer module,5,0,113,99,217,118,5,0.8019682102467025,0.6291984559596718,0.14066746640532368,0.06439159856719853,0.3970569310349564,0.3046153846153846,0.14066746640532368,0.07089504929358999,0.08840132113438906
Time behaviour,Transfer learning,4,1,81,131,217,85,5,0.7470006961583802,0.7389935686853639,0.12845599135343283,0.07839042929527083,0.36857898572923364,0.35355147645650437,0.12845599135343283,0.06635525895333097,0.08882891179965144
Time behaviour,New or specific layer module,4,1,81,131,217,85,5,0.7470006961583802,0.7389935686853639,0.12845599135343283,0.07839042929527083,0.36857898572923364,0.35355147645650437,0.12845599135343283,0.06635525895333097,0.08882891179965144
Safety,Integer-only operations,2,9,9,197,217,11,11,0.5196946989102006,1.4259034992149364,0.1381288614298323,0.10007655737324551,0.3332225475860883,0.6125244618395302,0.1381288614298323,0.06499681612585084,0.12506730636689026
Training performance efficiency,Training optimization algorithm selection or adaptation,2,9,9,197,217,11,11,0.5196946989102006,1.4259034992149364,0.1381288614298323,0.10007655737324551,0.3332225475860883,0.6125244618395302,0.1381288614298323,0.06499681612585084,0.12506730636689026
Reliability,Hardware and Software codesign,2,6,13,196,217,15,8,0.5182339919776623,1.3910905333833836,0.13950513614346355,0.09812653794234032,0.33607117449110446,0.6015325670498084,0.13950513614346355,0.06453086236104713,0.1245207056271767
Ressource utilization,Hardware and Software codesign,7,1,111,98,217,118,8,0.8710467744185655,0.49927265802795423,0.13010413726381131,0.07362126738096733,0.3776655701664911,0.24457677584006804,0.13010413726381131,0.06162833652076508,0.07075204033893905
Robustness,Denoising,2,0,67,148,217,69,2,0.5430384413191546,1.1659454087366967,0.14125443104741583,0.10010240655401945,0.33318516051865626,0.524822695035461,0.14125443104741583,0.0602574499312147,0.11096350708586428
